,Text,DateCreated
39,RT @Gizmodo: How should San Francisco help its homeless population? Bay Area journalists weigh in https://t.co/SXwQjmlQKC https://t.co/eUhd,Thu Jun 30 04:51:56 +0000 2016
40,RT @MLNow: Despite widespread sweeps Public Works only stored property of 23 homless people in 6 months https://t.co/aVntPBtfQp https://t.c,Thu Jun 30 04:50:52 +0000 2016
41,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:50:45 +0000 2016
42,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:50:15 +0000 2016
43,RT @invisiblepeople: #SFHomelessProject Dawns sign reads PREGNANT &amp; STRESSED!! as she sits begging for change in San Francisco https://t,Thu Jun 30 04:50:14 +0000 2016
44,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:50:10 +0000 2016
45,RT @SFGate: Lava Mae delivers SF's homeless population much needed showers https://t.co/eWyDwJ2B9w #SFHomelessProject https://t.co/IsnuYiTD,Thu Jun 30 04:49:51 +0000 2016
46,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:49:35 +0000 2016
47,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:49:34 +0000 2016
48,San Francisco photographer captures homeless pregnant women in beautiful portraits:       submitted by    /u/... https://t.co/wiXB1VYsyp,Thu Jun 30 04:49:05 +0000 2016
49,"Media unites to highlight San Francisco homeless crisis
https://t.co/RhvF3TMMhF https://t.co/B8kuRYTkKo via CNNMoney",Thu Jun 30 04:48:48 +0000 2016
50,A homeless moms answer: leave San Francisco https://t.co/wkLW0jwGoR,Thu Jun 30 04:48:42 +0000 2016
51,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:48:30 +0000 2016
52,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:48:15 +0000 2016
53,Media unites to highlight San Francisco homeless crisis https://t.co/Pfgx2Di2xz via @CNNMoney,Thu Jun 30 04:47:32 +0000 2016
54,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:47:13 +0000 2016
55,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:46:47 +0000 2016
56,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:46:37 +0000 2016
57,"CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/Iz5ewchNOq https://t.co/TPaK71UTSY",Thu Jun 30 04:46:26 +0000 2016
58,RT @KQEDnews: A #homeless protest in 1983 San Francisco. What's changed in the Bay? https://t.co/YDvmpaWmnF #SFHomelessProject https://t.co,Thu Jun 30 04:46:09 +0000 2016
59,This is a worthwhile initiative: The Running Club for the Homeless @backonmyfeet heads to San Francisco. https://t.co/kp5drRwKst,Thu Jun 30 04:45:30 +0000 2016
60,"#XRIM #MONEY : CNNMoney : Media unites to highlight San Francisco homeless crisis
 https://t.co/2QHqEWYUiD) https://t.co/cpvJ5sCn0t",Thu Jun 30 04:44:47 +0000 2016
61,San Francisco photographer captures homeless pregnant women in beautiful portraits - SF Gate https://t.co/T52Ooa013i,Thu Jun 30 04:44:47 +0000 2016
62,RT @invisiblepeople: #SFHomelessProject Dawns sign reads PREGNANT &amp; STRESSED!! as she sits begging for change in San Francisco https://t,Thu Jun 30 04:44:16 +0000 2016
63,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:44:03 +0000 2016
64,"CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/vGlFHx9cHQ https://t.co/kRu9qWYB4m",Thu Jun 30 04:43:53 +0000 2016
65,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:43:34 +0000 2016
66,"Media unites to highlight San Francisco homeless crisis https://t.co/b3uEmwGw63 https://t.co/sn02Q1bnji
For more... https://t.co/1aurDOIpH5",Thu Jun 30 04:43:31 +0000 2016
67,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:43:27 +0000 2016
68,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:40:15 +0000 2016
69,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:38:57 +0000 2016
70,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:38:11 +0000 2016
71,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:37:10 +0000 2016
72,"Media unites to highlight San Francisco homeless crisis
https://t.co/nft4YdbCVd https://t.co/U2neNUzcuZ",Thu Jun 30 04:37:07 +0000 2016
73,"@CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/wAQjbPROP5/s/Vbwi https://t.co/PGLULZ3EwM/s/4Tyd

m.twitt...",Thu Jun 30 04:36:49 +0000 2016
74,"CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/VWKXdrmh0C https://t.co/PrZ8PkCgo9",Thu Jun 30 04:36:05 +0000 2016
75,Insecurity In The City Of Food: How San Francisco Feeds Its Homeless https://t.co/oFsNXMt4QR,Thu Jun 30 04:35:52 +0000 2016
76,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:35:20 +0000 2016
77,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:35:04 +0000 2016
78,We can learn from kids and their empathy for San Francisco's homeless - SF Gate https://t.co/nPDyy5RdUl,Thu Jun 30 04:34:05 +0000 2016
79,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:32:25 +0000 2016
80,"RT @CNNMoney: Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:31:23 +0000 2016
81,"Media unites to highlight San Francisco homeless crisis
https://t.co/v3bdipLRXc https://t.co/BtsQL5rqSy",Thu Jun 30 04:31:01 +0000 2016
82,RT @Gizmodo: How should San Francisco help its homeless population? Bay Area journalists weigh in https://t.co/SXwQjmlQKC https://t.co/eUhd,Thu Jun 30 04:30:58 +0000 2016
83,RT @bayareahomeless: A portrait gallery of homeless and low-income chefs in training. https://t.co/upmGHNAJR7 #SFHomelessProject https://t.,Thu Jun 30 04:30:21 +0000 2016
84,A #homeless protest in 1983 San Francisco. What's changed in the Bay? https://t.co/YDvmpaWmnF #SFHomelessProject https://t.co/WfHf3wHrq1,Thu Jun 30 04:30:10 +0000 2016
85,"San Francisco homelessness Q&amp;A: Frequently asked questions, answers  https://t.co/EyAXjOxM79 via @demunderground #homeless",Thu Jun 30 04:28:46 +0000 2016
86,RT @invisiblepeople: #SFHomelessProject Dawns sign reads PREGNANT &amp; STRESSED!! as she sits begging for change in San Francisco https://t,Thu Jun 30 04:27:22 +0000 2016
87,Data shows San Francisco has second highest homeless population in Unite.. Related Articles: https://t.co/JfHiIVVfyz,Thu Jun 30 04:24:52 +0000 2016
88,RT @MLNow: Property of San Francisco homeless routinely disappeared by city https://t.co/uV4T1nhQsA https://t.co/YzkKqczwF6,Thu Jun 30 04:23:56 +0000 2016
89,RT @bayareahomeless: A portrait gallery of homeless and low-income chefs in training. https://t.co/upmGHNAJR7 #SFHomelessProject https://t.,Thu Jun 30 04:21:58 +0000 2016
90,RT @bayareahomeless: Homeless But at Home in San Francisco https://t.co/tIUvIc3YFw #SFHomelessProject https://t.co/j70eyCmglY,Thu Jun 30 04:20:38 +0000 2016
91,RT @KathyStocker: From homeless in San Francisco to a job in the tech industry https://t.co/fvK1zMyiXY #SFHomelessProject,Thu Jun 30 04:20:24 +0000 2016
92,RT @bayareahomeless: A portrait gallery of homeless and low-income chefs in training. https://t.co/upmGHNAJR7 #SFHomelessProject https://t.,Thu Jun 30 04:19:36 +0000 2016
93,RT @invisiblepeople: #SFHomelessProject Dawns sign reads PREGNANT &amp; STRESSED!! as she sits begging for change in San Francisco https://t,Thu Jun 30 04:19:25 +0000 2016
94,What role should media coverage play in Portland's homeless crisis? https://t.co/e5w5ZOmai2 https://t.co/xdZ09X1kKW,Thu Jun 30 04:19:12 +0000 2016
95,Kudos to these tech companies helping! https://t.co/fvK1zMyiXY,Thu Jun 30 04:18:49 +0000 2016
96,RT @samueldodge: These are our family members we're leaving them out on the street to suffer and that's not alright! https://t.co/mq3QIsBdL,Thu Jun 30 04:16:42 +0000 2016
97,From homeless in San Francisco to a job in the tech industry https://t.co/fvK1zMyiXY #SFHomelessProject,Thu Jun 30 04:14:30 +0000 2016
98,RT @Gizmodo: How should San Francisco help its homeless population? Bay Area journalists weigh in https://t.co/SXwQjmlQKC https://t.co/eUhd,Thu Jun 30 04:13:35 +0000 2016
99,RT @bayareahomeless: A portrait gallery of homeless and low-income chefs in training. https://t.co/upmGHNAJR7 #SFHomelessProject https://t.,Thu Jun 30 04:12:23 +0000 2016
